SimpleClassifier;;;;
Lp;train score;test score balanced;test score mean
0;1.0;0.9022860328965709;0.950381679389313
1;1.0;0.9105660377358491;0.9541984732824428
2;1.0;0.9105660377358491;0.9541984732824428
3;1.0;0.9105660377358491;0.9541984732824428
4;1.0;0.9105660377358491;0.9541984732824428
5;1.0;0.9105660377358491;0.9541984732824428
6;1.0;0.9105660377358491;0.9541984732824428
7;1.0;0.9105660377358491;0.9541984732824428
8;1.0;0.9022860328965709;0.950381679389313
9;1.0;0.9105660377358491;0.9541984732824428
10;1.0;0.9105660377358491;0.9541984732824428
11;1.0;0.9022860328965709;0.950381679389313
12;1.0;0.9105660377358491;0.9541984732824428
13;1.0;0.9105660377358491;0.9541984732824428
14;1.0;0.9105660377358491;0.9541984732824428
15;1.0;0.9105660377358491;0.9541984732824428
16;1.0;0.9105660377358491;0.9541984732824428
17;1.0;0.9022860328965709;0.950381679389313
18;1.0;0.9022860328965709;0.950381679389313
19;1.0;0.9022860328965709;0.950381679389313
20;1.0;0.9022860328965709;0.950381679389313
21;1.0;0.9022860328965709;0.950381679389313
22;1.0;0.9022860328965709;0.950381679389313
23;1.0;0.9022860328965709;0.950381679389313
24;1.0;0.9105660377358491;0.9541984732824428
25;1.0;0.9022860328965709;0.950381679389313
26;1.0;0.9191817572099261;0.9580152671755725
27;1.0;0.9191817572099261;0.9580152671755725
28;1.0;0.9105660377358491;0.9541984732824428
29;1.0;0.9022860328965709;0.950381679389313
30;1.0;0.9022860328965709;0.950381679389313
31;1.0;0.9022860328965709;0.950381679389313
32;1.0;0.9105660377358491;0.9541984732824428
33;1.0;0.9105660377358491;0.9541984732824428
34;1.0;0.9105660377358491;0.9541984732824428
35;1.0;0.9105660377358491;0.9541984732824428
36;1.0;0.9105660377358491;0.9541984732824428
37;1.0;0.9022860328965709;0.950381679389313
38;1.0;0.9022860328965709;0.950381679389313
39;1.0;0.9105660377358491;0.9541984732824428
40;1.0;0.9105660377358491;0.9541984732824428
41;1.0;0.9105660377358491;0.9541984732824428
42;1.0;0.9022860328965709;0.950381679389313
43;1.0;0.9105660377358491;0.9541984732824428
44;1.0;0.9105660377358491;0.9541984732824428
45;1.0;0.9022860328965709;0.950381679389313
46;1.0;0.9105660377358491;0.9541984732824428
47;1.0;0.9105660377358491;0.9541984732824428
48;1.0;0.9105660377358491;0.9541984732824428
49;1.0;0.9105660377358491;0.9541984732824428
50;1.0;0.9105660377358491;0.9541984732824428
51;1.0;0.9105660377358491;0.9541984732824428
52;1.0;0.9105660377358491;0.9541984732824428
53;1.0;0.9191817572099261;0.9580152671755725
54;1.0;0.9022860328965709;0.950381679389313
55;1.0;0.9105660377358491;0.9541984732824428
56;1.0;0.9105660377358491;0.9541984732824428
57;1.0;0.9022860328965709;0.950381679389313
58;1.0;0.9105660377358491;0.9541984732824428
59;1.0;0.9105660377358491;0.9541984732824428
60;1.0;0.9191817572099261;0.9580152671755725
61;1.0;0.9022860328965709;0.950381679389313
62;1.0;0.9105660377358491;0.9541984732824428
63;1.0;0.9191817572099261;0.9580152671755725
