Lp;simple - balanced;simple - mean;full - balanced;full - mean;half window - balanced;half window - mean
0;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
1;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
2;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
3;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
4;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
5;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
6;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
7;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
8;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
9;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
10;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
11;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
12;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
13;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
14;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
15;0.9522104607721046;0.9609120521172638;0.9869847543760587;0.9869706840390879;0.9423255334501598;0.9511400651465798
