HalfWindowClassifier;;;;
Lp;train score;test score balanced;test score mean
0;1.0;0.9181034482758621;0.9517241379310345
1;1.0;0.9391666666666667;0.9517241379310345
2;1.0;0.9502510985561833;0.9655172413793104
3;1.0;0.9827586206896552;0.993103448275862
4;1.0;0.9335399449035813;0.9448275862068966
5;1.0;0.968164188752424;0.9724137931034482
6;1.0;0.9456521739130435;0.9724137931034482
7;1.0;0.9666666666666667;0.9862068965517241
8;1.0;0.9502510985561833;0.9655172413793104
9;1.0;0.9114774114774115;0.9448275862068966
10;1.0;0.9310979060554612;0.9655172413793104
11;1.0;0.9036231884057971;0.9448275862068966
12;1.0;0.9335399449035813;0.9448275862068966
13;1.0;0.9557387057387057;0.9724137931034482
14;1.0;0.973006905210295;0.9793103448275862
15;1.0;0.9390000000000001;0.9310344827586207
16;1.0;0.9396551724137931;0.9655172413793104
17;1.0;0.9447317388493859;0.9586206896551724
18;1.0;0.9396551724137931;0.9655172413793104
19;1.0;0.968164188752424;0.9724137931034482
20;1.0;0.9502510985561833;0.9655172413793104
21;1.0;0.9274952919020716;0.9517241379310345
22;1.0;0.9633333333333334;0.9655172413793104
23;1.0;0.9502510985561833;0.9655172413793104
24;1.0;0.9391666666666667;0.9517241379310345
25;1.0;0.9105829088851161;0.9517241379310345
26;1.0;0.943932411674347;0.9379310344827586
27;1.0;0.9447317388493859;0.9586206896551724
28;1.0;0.9396551724137931;0.9655172413793104
29;1.0;0.9212992889463478;0.9448275862068966
30;1.0;0.973006905210295;0.9793103448275862
31;1.0;0.9246376811594204;0.9586206896551724
32;1.0;0.9666666666666667;0.9862068965517241
33;1.0;0.917450221238938;0.9586206896551724
34;1.0;0.9502510985561833;0.9655172413793104
35;1.0;0.9396551724137931;0.9655172413793104
36;1.0;0.8925543190249072;0.9448275862068966
37;1.0;0.9391666666666667;0.9517241379310345
38;1.0;0.9114774114774115;0.9448275862068966
39;1.0;0.9246376811594204;0.9586206896551724
40;1.0;0.8974004424778761;0.9448275862068966
41;1.0;0.9336080586080586;0.9586206896551724
42;1.0;0.9181034482758621;0.9517241379310345
43;1.0;0.9557387057387057;0.9724137931034482
44;1.0;0.9557387057387057;0.9724137931034482
45;1.0;0.9456521739130435;0.9724137931034482
46;1.0;0.8811688311688313;0.9379310344827586
47;1.0;0.975609756097561;0.9586206896551724
48;1.0;0.9447317388493859;0.9586206896551724
49;1.0;0.9181034482758621;0.9517241379310345
50;1.0;0.9391666666666667;0.9517241379310345
51;1.0;0.9336080586080586;0.9586206896551724
52;1.0;0.9456521739130435;0.9724137931034482
53;1.0;0.9396551724137931;0.9655172413793104
54;1.0;0.9396551724137931;0.9655172413793104
55;1.0;0.9046266233766234;0.9517241379310345
56;1.0;0.9557387057387057;0.9724137931034482
57;1.0;0.9246376811594204;0.9586206896551724
58;1.0;0.9957627118644068;0.993103448275862
59;1.0;0.8974004424778761;0.9448275862068966
60;1.0;0.9336080586080586;0.9586206896551724
61;1.0;0.973006905210295;0.9793103448275862
62;1.0;0.9502510985561833;0.9655172413793104
63;1.0;0.9375;0.9724137931034482
